Référence,Type de bien,Location / Colocation,Loyer location €/mois avec charges,Loyer colocation €/mois,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /chambre (si coloc) /an,Autres coûts /an,Lien,Description entière annonce,Date publication annonce
11,Appartement,Location,695,695,75,"9,266666667",4,3,rénové meublé,SAINT-ETIENNE,boulevard valbenoite,4,,,,180,,https://www.leboncoin.fr/locations/1889096092.htm,"Particulier, loue T4 rénové meublé au boulevard valbenoite. Proximité tramway et Centre deux. 1er étage, lumineux. Accès sécurisé par badge. Cuisine équipée, vaisselle, four, four micro-ondes, plaque à induction, lave linge, réfrigérateur congélateur. WC indépendant Canapé 3 places convertible en lit double 3 chambres. Literie et penderie dans les chambres. Possibilité stockage meubles en cave si vous souhaitez mettre vos meubles Chauffage individuel gaz. Loyer 680euros + 15 euros de charges (= entretien chaudière+ électricité des communs) Disponible à partir du 25 décembre",04/12/2020
12,Appartement,Colocation,290,870,68,"12,79411765",5,3,meublé,CLERMONT-FERRAND,74 bis boulevard Côte Blatin,4,D,D,,360,,https://www.leboncoin.fr/colocations/1891528362.htm,"Je loue un appartement meublé en colocation avec 3 chambres. 2 sont occupées par Vincent et Samuel, tous 2 étudiants de 19 et 24 ans. La 3em chambre se libère mi décembre. Je passe l'annonce pour eux ensuite c'est eux qui organisent les visites et choisissent. Tolérance et respect sont 2 critères importants pour nous. L'appartement est situé au 74 bis boulevard Côte Blatin, proche de l'arrêt de tram Université. Il est meublé : lit double, penderie, rangements, bureau, machine à laver, frigo, plaques de cuisson, four, cafetière, micro ondes, bouilloire, ustensiles de cuisine, chaises, tables... Le loyer est de 290e et comprend également les charges de copropriété et le chauffage. Reste à vous partager l'internet, l'électricité et l'assurance habitation obligatoire soit environ une 30en d'euros au total. Pas de frais d'agence mais une caution de 290e Apl possible. N'hésitez pas à me contacter je vous mettrai en relation avec les colocataires. 0682466292",7/12/2020
13,Appartement,Colocation,430,1720,125,"13,76",5,4,Meublé rénové,CLERMONT-FERRAND,Boulevard cote blatin,4,E,F,,960,,https://www.leboncoin.fr/colocations/1889466875.htm,"Envie de vivre dans un appart design ? Vous êtes au bon endroit, c’est « The Place To Be » ! CLERMONT-FERRAND, A louer 1 chambre dans une colocation de 4 personnes dans un superbe appartement lumineux entièrement meublé et équipé de 125 m2, le tout rénové en 2020. Les 3 autres colocataires déjà en place sont jeunes, dynamiques, chaleureux et toujours avec le sourire. Cette coloc’ offre de belles surfaces dont un magnifique salon ouvert sur une grande cuisine entièrement équipée. Vous voyagerez à la mode « Auberge Espagnole » avec ses 4 chambres à thème : Paris, Londres, New-York et Reykjavík, toutes avec leur salle de douche PRIVATIVE. Les plus : de nombreux rangements, un balcon, des meubles et des équipements de « compétition » et une grande cave. L’incontournable : son emplacement. Situé Boulevard Cote Blatin (au croisement de l’Avenue Leon Blum), l’appart profite des transports en commun à ses pieds, la gare à 5 minutes, des universités Clermont-Auvergne Pôle Tertiaire, l’UFR Lettres, Langues et Sciences ou encore l’Ecole de Droit, sans oublier du centre-ville à 10 minutes à pied. Loyer de 430 € + 80 € de charges par chambre/personne, par mois. Les charges comprennent : l’électricité, le chauffage, l’eau chaude et froide, internet en fibre optique et la taxe d’ordures ménagères. Chambre disponible le 18 décembre. Davantage de photos et vidéo sur demande.",5/12/2020
14,Appartement,Colocation,375,1125,68,"16,54411765",4,3,Meublé rénové,CLERMONT-FERRAND,Proche gare et fac droit,4,,,,900,,https://www.leboncoin.fr/colocations/1891759630.htm,"Chambres privées disponible dans un appartement rénové il y a 1 an Possible de faire un bail cour pour travailleur, étudiants Erasmus, alternant stagiaires ou toute personne de passage sur Clermont-Ferrand. T4 situé à: -5mins de la gare SNCF -6mins la fac de droit et de la place de Jaude. -1er étage d'un immeuble calme, arrêt de bus juste en dessous de l’appartement. -Un intermarché à 5 mins à pied -Les chambres sont meublés. Composition : - 3 Chambres : lits 2 places (avec matelas , sommier, oreillers, couette, 2 housses de couette, 2 draps, 2 serviettes de bain )/ dressing /un bureau/ chevet de lit/ etc - Séjour : canapé / table / TV / Internet / wifi/ Netflix etc - Cuisine : Lave-vaisselle / Meubles de rangement haut et bas avec plan de travail / Four / Plaques à gaz / Hotte / Frigo /Micro-onde/Cafetiere à dosette et soluble /casseroles et ustensiles /etc Autres: Vaisselle/ lave-linge, fer à repasser, ballai... - Salle de bain : baignoire, meuble avec miroir - WC indépendant -Place de parking gratuit en dessous de l' appartement. Recherche homme ou femme. Tarif: Prix : 375 Euro(s) de loyer + 75 Euro(s) de charges (wifi, électricité, eau chaude et froide, gaz, Netflix, services de nettoyage 1 fois toute les 2 semaines ) Caution de 650 Euro(s) Avoir un garant ou être inscrit au LocaPass qui se porte garant pour vous / assurance à prévoir. Disponible à partir du 24 Décembre 2020. N'hésitez pas à me contacter pour plus d'information ou plus de photos. 0635134252 ou 0753279776",8/12/2020
15,Appartement,Colocation,360,1080,52,"20,76923077",4,3,Meublé rénové,CLERMONT-FERRAND,15 min facs,4,,,,900,,https://www.leboncoin.fr/colocations/1891847440.htm,"Chambres privées disponible dans un appartement à peine rénové. La chambre en colocation peut être loué en location longue durée 1 an et plus. Nous offrons aussi la possibilité d'effectuer une location courte durée d’1, 2,3 mois etc.. , pour travailleurs, étudiants Erasmus, alternants,stagiaires ou toute personne de passage sur Clermont-Ferrand. T3 situé à: -9 minutes à pieds de la gare SNCF -15 minutes à pieds de la fac de droit et de la place de Jaude. -RDC surélevé d'un immeuble calme, arrêt de bus à côté -Un intermarché à 7 mins à pied -Les chambres sont meublés. Composition : - 3 Chambres contenant chacune : un lit 2 places (avec matela , sommier, oreillers, couette, 2 housses de couette, 2 draps )/ dressing /un bureau/ chevet de lit/ TV / Internet / wifi/ Netflix etc - Cuisine : Espace pour repas avec 3 chaises hautes/ Lave-vaisselle / Meubles de rangement haut et bas avec plan de travail / Four / Plaques à gaz / Frigo /Micro-onde/Cafetiere à dosette et soluble /casseroles et ustensiles /etc Autres: Vaisselle/ lave-linge /fer à repasser, ballai... - Salle de bain : douche italienne, meuble avec miroir /WC inclus -Place de parking gratuit en dessous de l' appartement. Recherche homme ou femme. Tarif: Prix : 360 Euro(s) de loyer + 75 Euro(s) de charges (wifi, électricité, eau chaude et froide, gaz, Netflix, services de nettoyage 2 fois par mois ) Caution de 435Euro(s) Avoir un garant ou être inscrit au LocaPass qui se porte garant pour vous / assurance à prévoir. Disponible dès le 15 Décembre 2020 N'hésitez pas à me contacter pour plus d'information ou plus de photos. 0753279776 ou 0635134252",8/12/2020
16,Appartement,Colocation,297,891,95,"9,378947368",4,3,,CLERMONT-FERRAND,"Gare, facs, tram",4,,,,624,,https://www.leboncoin.fr/colocations/1891482544.htm,"Notre colocataire Chloé s’en va vers de nouveaux horizons. Notre appartement, un grand T4 traversant avec des grandes pièces très lumineuses, style osmanien et refait récemment, cherche donc un nouvel occupant. Situé proche de la gare et des facs, accessible en bus et tram à 10 min à pied. Composé de 3 chambres, une grande salle de bain (avec un magnifique sol effet gazon !) et toilettes séparées, une cuisine, un salon et de nombreux rangements. L’heureux(se) élu(e) aura la chance d’occuper une magnifique chambre de 16 m 2 très calme avec vue sur cour, non meublée (donc totalement personnalisable). On recherche un(e) coloc entre 18 et 25 ans jeune actif ou étudiant. Si possible propre, respectueux et prêt à passer des moments de joie et de bonne humeur avec deux colocataires de rêve : Anthony (24 ans, jeune actif) et Millie (19 ans, étudiante en LEA). Ce qu’on aime : écouter tout style de musique, tout travail manuel (couture, dessin…), les jeux de société, les soirées (pizza, crêpe et potes) et la bière bien fraîche ! De plus, tu auras l’honneur de faire connaissance avec Pan-pan, lapin/mascotte de la Coloc Fleurie ! Loyer de 297€ + environ 52€ de charges (gaz, électricité, internet, assurance habitation). Pour en savoir plus, tu peux nous contacter au 0750838527 (Millie) ou au 0785507100 (Antho).",7/12/2020
17,Appartement,Colocation,390,1170,69,"16,95652174",4,3,,CLERMONT-FERRAND,15min centre ville,4,,,,720,,https://www.leboncoin.fr/colocations/1891084546.htm,"Venez partager et échanger dans cette chaleureuse colocation de 3 chambres, situé dans un quartier résidentiel, proche des transports et des commerces. Parfait pour un étudiant ou un jeune actif sérieux. L’APPARTEMENT L’appartement de 69m², refait à neuf et meublé grand confort, se compose : - D’un salon lumineux avec une déco coup-de-cœur pour passer des moments conviviaux. - D’une cuisine toute équipée ouverte sur le salon pour cuisiner sans être isolé de ses convives. - De 3 chambres (10 à 11,5 m²) privatives avec verrou et chaleureuses, pour se reposer et être au calme. - D’une grande salle de bain ventilée pour démarrer une journée parfaitement apprêté. Les toilettes sont séparées. Tout a été soigné et conçu pour se sentir comme à la maison et partager de bons moments de convivialité. L’ENVIRONNEMENT Le bien est situé au 3ème étage d’un immeuble sécurisé d’un quartier résidentiel. Proche de toutes commodités (transports et commerces), il permet de joindre le Centre-Ville en moins de 15 minutes à pied MODALITES Le loyer est de 390€HT + 60€ de charges (chauffage, eau chaude, eau froide, ordures ménagères, ménage des communs, électricité, internet et Netflix) Bail individuel, sans caution solidaire exigée ; des garants vous seront demandés. Vous êtes étudiants ou jeunes actifs, cet appartement est pour vous ! N'attendez plus, contactez-moi en premier par messagerie LBC. Personnes non sérieuses ou agences, s'abstenir SVP.",7/12/2020
18,Appartement,Colocation,480,1440,81,"17,77777778",4,3,,CLERMONT-FERRAND,proche facs,4,D,D,,,,https://www.leboncoin.fr/colocations/1890878484.htm,"Colocation féminine 3 Chambres à deux pas des facs. 480 euros par chambre tout compris photos bientôt disponible. Chambres disponible début mars. Merci d’indiquer vos coordonnés et un garant obligatoire. Court séjour possible. Internet et Netflix offert. Hello, we will be renting 3 rooms at 2 min from universities available from March. The rooms will be only for ladies. 480 euros everything included. Internet & Netflix will be included. Short period possible.Thanks to send me your contact I will request that one person which could pay for you in case of any issues.",6/12/2020
19,Appartement,Colocation,389,1167,61,"19,13114754",4,3,,CLERMONT-FERRAND,hypercentre,5,C,B,,900,,https://www.leboncoin.fr/colocations/1890484366.htm,"Bonjour,

Je loue une chambre dans ce bel appartement traversant et lumineux en colocation, dont les 2 autres sont déjà occupées par Théo, 20 ans, étudiant en langues étrangères, et Alec, 22 ans, faisant des études d’ingénieur.

F4 de 61 m2, refait à neuf mi-2020 entièrement meublé et équipé, rénovation de qualité. 

La chambre sera disponible le 29/12. 4ème étage sans vis-à-vis, sans ascenseur.

Idéalement placé : 18 rue Sainte-Claire, hyper-centre, proche toutes commodités (supérettes, boulangerie, bars, cafés, restaurants, poste, banques…). Tram ligne A arrêt Gaillard à côté. A 7 min à pied de place de Jaude/plateau central, 12 min de l’ESC Clermont. Université Clermont Auvergne et UFR Lettres, Culture et Sciences Humaines, gare SNCF, CHU Estaing / fac dentaire, sites Michelin Carmes/Cataroux vite joignables en bus/tram. Autoroute proche.

A l’entrée, un large couloir s’ouvre à gauche sur la salle de bain, à droite sur un espace salle TV/Salon cosy. Accueillant canapé et 2 poufs, table basse pour des moments de détente, de discussions ou pour profiter d’une série sur Netflix. TV écran plat 50 pouces 4K UHD + Google Chromecast pour diffuser n’importe quel contenu depuis votre smartphone. Etagère de rangement. 

La salle de bain profite d’une douche sur-mesure, WC, meuble-vasque avec 2 tiroirs de rangement, miroir éclairé, porte-serviette.

Au fond à droite de l’appartement, la chambre à louer est la chambre « verte » de 13 m2 (Chbr2 sur le plan), très fonctionnelle et lumineuse avec magnifique vue sur le Puy-de-Dôme. Décoration scandinave raffinée. Lit 140x190cm avec un confortable matelas de 22 cm à mémoire de forme, table de chevet et lampe, bureau et caisson de rangement+poubelle, chaise, lampe de bureau, ventilateur, étagère, généreux dressing avec penderie, cintres. Rideaux et volets. Tout le linge de lit et de toilette est fourni en double.

Après l’entrée, à votre gauche la cuisine ouverte et son bar convivial s’ouvre à vous, électroménager de qualité et neuf (grand réfrigérateur-congélateur avec distributeur d’eau filtrée, lave-sèche-linge, lave-vaisselle, four, micro-ondes, rangements haut et bas, table extensible de 120-180cmx75 cm, 4 chaises. Tous les accessoires sont inclus, de la cafetière au presse-agrume, bouilloire, grille-pain, accessoires et ustensiles de cuisson, vaisselle en grande quantité pour cuisiner autant que l’envie vous prendra !

En dépassant la cuisine, vous parvenez dans un dégagement desservant les 2 autres chambres. Un cagibi avec le nécessaire de nettoyage (aspirateur, étendoir à linge, fer et table à repasser…).

Il n'y a plus qu'à poser vos valises ! 

Une grande cave peut servir de garage vélo et de stockage.

Vous avez entre 20 et 35 ans ? Vous êtes un(e) jeune actif(ve) ? Ou bien étudiant(e) 2 ou 3ème cycle universitaire ? Vous aimez la convivialité dans le respect des autres ? Cette chambre est faite pour vous !

Loyer : 

389 €+75 € de charges (chauffage, entretien chaudière, électricité, eau froide et chaude, taxe ordures ménagères, charges de copropriété, internet, abonnement Netflix HD. Seules l’assurance habitation et la taxe d’habitation restent à votre charge. Loyer total charges incluses 464 euros.

Stationnement 0,50€/jour avec la carte résident gratuite.

Bail individuel. Caution 2 mois de loyers HC. Maxi 1 occupant(e) (pas de couples).

ELIGIBLE APL. Garant demandé (CAUTION)

Merci de vous présenter par mail: coordonnées, précisez si étudiant ou salarié, passions.

Visite vidéo possible.
Appartement disponible le 29/12. A bientôt",6/12
20,Appartement,Colocation,375,1125,93,"12,09677419",4,3,,CLERMONT-FERRAND,Un peu excentré,3,,,,,,https://www.leboncoin.fr/colocations/1890459304.htm,"Une chambre se libère au 07 décembre 2020 et l'autre fin décembre. Vous souhaitez vivre en colocation ? Vous êtes en fin d'études/jeune active ? Vous êtes responsable, respectueuse, ordonnée et sociable ? Alors cet appartement peut vous intéresser ! Jade, jeune active sera ravie de vous accueillir dans l'appartement. Appartement F4 de 93m2. Adresse exacte : 86 boulevard Lavoisier, Clermont-Ferrand Au 2ème étage d'une petite copropriété possédant un jardinet. Situé à 10min à pieds du centre-ville; les transports en commun et les commerces sont à proximité. Appartement meublé : - 3 chambres - Salon avec télé - Cuisine équipée - SDB et toilettes séparés - Placard de rangement Loyer = 375€ Toutes Charges Comprises (eau, gaz, électricité, internet...) N'hésitez pas à me contacter par mail/SMS/téléphone pour davantage d'informations ou pour visiter ! :)",6/12/2020
