Référence,Type de bien,Prix de vente,Surface totale,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /an,Autres coûts /an,Prix location /mois,Lien,Description entière annonce,Date publication annonce,
35,Appartement,119000,73,"1630,136986",3,2,"terrasse (50m2), cave",GRENOBLE,"Vigny Musset, Allée des 2 mondes.",2,D,D,,1596,,,https://www.leboncoin.fr/ventes_immobilieres/1891709807.htm,"Grenoble, Vigny Musset, Allée des 2 mondes. Appartement F3 au 1er étage avec ascenseur. L'appartement donne intégralement sur le jardin intérieur et clos de la copropriété : calme absolu ! Exposition ouest. La cuisine ouverte, le séjour et les deux chambres ouvrent sur une grande terrasse de 50 m². En remplaçant la baignoire par une douche à l'italienne l'appartement pourrait être accessible aux personnes à mobilité réduite. La base est saine, il suffit de prévoir quelques rafraichissements. Double vitrage, chauffage collectif. Les charges (133 € / mois) comprennent le chauffage, l'eau chaude et l'eau froide. Vendu avec une cave. Interimmo38, membre du réseau Bilik, agence à taux de commission réduit. Contactez Cyril Bouchayer aux 04 76 460 560 / 06 18 91 31 37",08/12/2020,
36,Appartement,179000,73,"2452,054795",3,2,,GRENOBLE,Lakanal,5,E,B,,660,,,https://www.leboncoin.fr/ventes_immobilieres/1731284527.htm,"Appartement type 3 Lakanal Au coeur du secteur Lakanal, je vous invite à venir découvrir cet appartement de type 3 situé au rdc d'une copropriété bien entretenue. Cet apppartement se compose de deux chambres, une cuisine ouverte sur séjour, une salle d'eau, un toilette. Idéal investissement ou profession libérale ! Une cave complète ce bien. Bien soumis au statut de copropriété. Contact: Karin Arnaud: 016923410/karin@karinarnaud.fr Référence annonce : 0004 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 660 €",08/12/2020,
37,Appartement,149000,76,"1960,526316",4,2,balcon,GRENOBLE,dans quartier vivant et verdoyant agréable,,,,,2400,,,https://www.leboncoin.fr/ventes_immobilieres/1886940783.htm,"Appartement T4 + balcon Grenoble, dans quartier vivant et verdoyant agréable T4, comprenant un séjour/salon lumineux avec accès balcon, cuisine, 2 chambres (possibilité 3), salle de bains, WC, vue superbe sur les massifs Belledonne et Vercors. Belle oportunité exclusive à découvrir. Prix : 149 000 EUR - BV IMMOBILIER - 04 76 40 60 33 - 06 85 10 75 81 Référence annonce : 2_949 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 2400 €",08/12/2020,
38,Appartement,155000,72,"2152,777778",3,2,"terrasse, local à velo, garage(+13000€)",GRENOBLE,rue Lucien Andrieux,3,B,B,,1680,,,https://www.leboncoin.fr/ventes_immobilieres/1891690629.htm,"Grenoble, rue Lucien Andrieux. Proximité gendarmerie, bus, centres commerciaux, grands axes Appartement standing (normes pmr) F3 de 72 m² dans copropriété construite en 2012. 1er étage surélevé avec ascenseur, . Etat neuf ! Le séjour et sa cuisine ouverte équipée ouvrent sur une terrasse exposée est avec vue dégagée. 2 chambres exposée au nord. Grande salle de bain, wc séparés. Buanderie. L'appartement est proposé avec un garage en supplément + 13 000 €. Les charges (140 € / mois) comprennent une provision de chauffage collectif, d'eau froide et d'eau chaude. Local à vélo, visiophone. Interimmo38, membre du réseau Bilik, agence à taux de commission réduit. Contactez Cyril Bouchayer aux 04 76 460 560 / 06 18 91 31 37",08/12/2020,
39,Appartement,139000,82,"1695,121951",4,3,"Garage, cave",GRENOBLE,eaux claires,3,C,D,,2372,,,https://www.leboncoin.fr/ventes_immobilieres/1891938335.htm,"APPARTEMENT T4 AVEC EXTERIEUR AU CALME 3%IMMO. Secteur Eaux Claires .Au calme, sans aucune nuisance, appartement au 1er étage avec garage entièrement rénové composé d'un beau salon avec accès direct sur un bel extérieur aménagé, d'une cuisine entièrement équipée et aménagée donnant directement sur la loggia avec vue sur un espace vert au calme, de trois belles chambres dont une de plus de 13m2 avec placard ( les 2 autres font 10.91 et 10.51 m2 avec placard), une belle salle de bains composée d'une baignoire et d'une double vasque et d'un WC indépendant. cave, fenêtres PVC double vitrage (sauf dans 2 chambres), Aucun travaux à prévoir. Bien soumis au statut de la copropriété de 198 lots( 63 appartements) 2 lots à vendre. charges/an: 2372 EUR ( 197 EUR / Mois ) pas de procédure en cours. Les charges comprennent le chauffage, l'eau chaude ainsi que les charges générales. Pour plus d'informations ou pour visiter, n'hésitez pas à contacter stéphanie au 06.99.18.21.68 Référence annonce : V10000025 Les honoraires sont à la charge du vendeur",08/12/2020,
40,Appartement,120000,67,"1791,044776",3,2,"Balcon, cave",SAINT-ETIENNE,"43 bis rue Montesquieu, 42100 Saint Etienne / Il se trouve au niveau du Cours Fauriel, proche des écoles (art/sports) et à 20min (à pied) du centre-ville. - Il est facile de sortir de Saint-Etienne, car il se situe à 2 min de la voie rapide. - Arrêt de bus devant le bâtiment, pas de problème de stationnement dans la rue (ou possibilité d’avoir un parking privé (30€/mois). ",4,C,C,,,,,https://www.leboncoin.fr/ventes_immobilieres/1893447978.htm,"Disponible à partir du 01 janvier Lieu : 43 bis rue Montesquieu, 42100 Saint Etienne Bâtiment propre et agréable, bien entretenu, le logement se situe au 4ème étage (sans ascenseur). Appartement idéal pour une famille / jeune couple ou collocation. Quartier très clame ! Caractéristiques : - Cuisine ouverte sur le salon, équipée d’un réfrigérateur neuf, gazinière (3 gaz + 1elec), machine à laver. Un plan de travail avec beaucoup de rangements. - Séjour (salle à manger + salon) de 27m² très lumineux et agréable. - 1 chambre de 13m² avec un dressing. - 1 chambre de 10m² / ou bureau. - Salle de bain - Balcon de 2m² - Cave de 8m² Chauffage gaz individuel Les alentours : - Il se trouve au niveau du Cours Fauriel, proche des écoles (art/sports) et à 20min (à pied) du centre-ville. - Il est facile de sortir de Saint-Etienne, car il se situe à 2 min de la voie rapide. - Arrêt de bus devant le bâtiment, pas de problème de stationnement dans la rue (ou possibilité d’avoir un parking privé (30€/mois). Si vous êtes intéressés, n’hésitez pas à me contacter pour plus d’informations. Merci de me contacter par mail de préférence. Au plaisir.",11/12/2020,
41,Appartement,185000,113,"1637,168142",6,3,"Duplex, terrasse, garage, cellier",SAINT-ETIENNE,SECTEUR HAUT FOURNEYRON OPERA,3,C,D,,,,,https://www.leboncoin.fr/ventes_immobilieres/1879379478.htm,DUPLEX AVEC TERRASSE / SECTEUR OPERA SAINT-ETIENNE / SECTEUR HAUT FOURNEYRON OPERA DANS COPROPRIETE FERMEE ET SECURISEE. PRODUIT RARE ET EXCEPIONNEL A 5 MIN DU CENTRE VILLE. DUPLEX DE 113M2 AVEC TERRASSE ET GARAGE EN DERNIER ETAGE SANS VIS A VIS. CUISINE SEPAREE EQUIPEE / GRAND SEJOUR AVEC ACCES SUR TERRASSE. 3 CHAMBRES - CELLIER - NOMBREUX RANGEMENTS. SALLE DE BAIN / SALLE D' EAU ET DEUX WC SEPARES. VOLET ROULANT ELEC / DOUBLE VITRAGE BOIS. CHAUFFAGE IND GAZ - CHAUDIERE RECENTE. CLASSE ENERGIE : C / REF : RMVD01 PRIX : 185.000EUR HONORAIRE CHARGES VENDEUR. ROMAIN MEASSON NEGOCIATEUR IMMOBILIER. 06.35.49.62.88 / romainmeasson@gmail.com SIRET : 840 132 252 000 23. WWW,CABINETOLIVIER.COM Référence annonce : RMVD01 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours,11/12/2020
42,Appartement,59000,84,"702,3809524",4,3,"Balcon, traversant",SAINT-ETIENNE,Avenue de Rochetaillée,3,,,,2280,,,https://www.leboncoin.fr/ventes_immobilieres/1885314933.htm,"T4 Avenue de Rochetaillée avec balcon Saint Etienne, Secteur Bellevue, T4 traversant d'environ 84 m2 avec balcon Cuisine, séjour, 3 chambres , 1 salle de bains, wc séparé, une cave et possibilité d'avoir un garage. Charges d'environ 190 euros par mois comprenant, fond de réserve, entretien des parties communes, chauffage, eau chaude, ascenseur... Copropriete de 82 lots, aucune procédure en cours. Ne répond pas aux mails sans numéro de téléphone Honoraires à la charges du vendeur Agent commercial inscrit au RSAC de Saint Etienne sous le no878 708 411 L'agence Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 663 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 82",11/12/2020,
43,Appartement,95000,58,"1637,931034",3,2,,SAINT-ETIENNE,Cours Fauriel à 2 pas de l'école des Mines ,4,F,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1884727079.htm,"T3 Cours Fauriel Saint-Étienne, centre ville, Cours Fauriel, à 2 pas de l'école des Mines changez de logement pour cet agréable appartement de type F3. L'appartement mesure environ 58m2 et compte un espace cuisine, 2 chambres et une salle de bain, avec WC séparé Il est au 8eme étage, présence d'un ascenseur dans le bâtiment. Le logement vous fait profiter d'un gardien. Bon choix pour une première acquisition immobilière, appartement en bon état vous n'avez plus qu'à poser vos valises Contactez dès à présent CityZen Immobilier pour visiter cet appartement. Copropriété de 164 lots en parfait état, aucune prcédure en cours Ne répond pas aux mails sans numéro de téléphone. Honoraires à la charges du vendeur. Agent commercial inscrit au RSAC de Saint Etienne sous le no878708411 L'agence Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 662 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 164",11/12/2020,
44,Appartement,57000,51,"1117,647059",3,2,,SAINT-ETIENNE,à proximité du tram et de la gare de Chateaucreux,3,D,B,,600,,,https://www.leboncoin.fr/ventes_immobilieres/1882689842.htm,"T3 de 51 m2 avec locataire en place À Saint-Étienne, à proximité du tram et de la gare de Chateaucreux investissement à réaliser avec cet appartement loué de 51 m2 disposant de 2 chambres, un espace cuisine ouverte sur la pièce d vie et une salle de bain. Le calme du lieu est assuré par le double vitrage. Cette propriété est au 2ème et dernier niveau. Faibles charges d'environ 50 euros par mois Copropriété de 5 lots, aucune procédure en cours Honoraires à la charges du vendeurAgent commercial inscrit au RSAC de Saint Etienne sous le no820194512Délégation de mandat Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 644 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 5",11/12/2020,
45,Appartement,105000,60,1750,3,2,balcon vue exceptionnelle parking privé,SAINT-ETIENNE,"centre ville, Cours Fauriel, à 2 pas de l'école des Mines ",4,E,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1873901925.htm,"Appartement à acheter dernier étage à Saint-Étienne, Cours F Saint-Étienne, centre ville, Cours Fauriel, à 2 pas de l'école des Mines changez de logement pour cet appartement de type F3. L'appartement mesure 60m2 et compte un espace cuisine, 2 chambres et une salle de bain, un dressing Il est au dernier niveau sur 9 ; présence d'un ascenseur dans le bâtiment. Pour vous aérer sans quitter votre appartement, vous bénéficierez d'un balcon avec une vue exceptionnelle. Ce domicile vous fait bénéficier d'un espace de stockage en sous-sol et d'un parking privé avec une barrière électrique Le logement vous fait profiter d'un gardien. Bon choix pour une première acquisition immobilière. Contactez dès à présent CityZen Immobilier pour visiter cet appartement ( vidéo disponible). Copropriété de 108 lots en parfait état, aucune prcédure en cours Ne répond pas aux mails sans numéro de téléphone. Honoraires à la charges du vendeur. Agent commercial inscrit au RSAC de Saint Etienne sous le no878708411 L'agence Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 650 Les honoraires sont à la charge du vendeur",11/12/2020,
46,Appartement,75000,55,"1363,636364",3,2,Balcon,SAINT-ETIENNE,", à 2 pas de l'université Jean Monnet, des commerces & du tram",4,E,E,,1200,,,https://www.leboncoin.fr/ventes_immobilieres/1870725386.htm,"Appartement avec balcon 3 pièces à vendre à Saint-Étienne (4 Saint-Étienne, à 2 pas de l'université Jean Monnet, des commerces & du tram Il se trouve au 1e étage d'un immeuble sur 4 niveaux. L'intérieur comprend une agréable salle de bain avec douche italienne, un espace nuit comprenant 2 chambres et un espace cuisine ouverte sur un grand séjour qui pour profiter de l'extérieur, vous propose un charmant balcon. La surface intérieure habitable totalise 55m2 selon la loi Carrez. Le logement donne accès à un espace de stockage en sous-sol. Le prix de vente s'élève à 75 000 euros. Un logement avec peu de charge ( environ 100EUR comprenant la chauffage,...). Vous n'avez qu'a poser vos valises Votre agence CityZen Immobilier se fera un plaisir de vous aider si vous voulez planifier une visite. Copropriété de 80 lots, aucune prcédure en cours Ne répond pas aux mails sans numéro de téléphone. Honoraires à la charges du vendeur. Agent commercial inscrit au RSAC de Saint Etienne sous le no878708411 L'agence Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 649 Les honoraires sont à la charge du vendeur",11/12/2020,
47,Appartement,110000,75,"1466,666667",4,3,Garage,SAINT-ETIENNE,Secteur Jacquard,3,D,C,,1920,,,https://www.leboncoin.fr/ventes_immobilieres/1867144037.htm,"Saint-Étienne, Centre Ville T4 lumineux d'environ Saint-Étienne, Secteur Jacquard T4 lumineux d'environ 75 m2 + garage Cuisine équipée & ouverte sur une grande pièce de vie, 3 chambres, salle de bain avec douche, nombreux rangements Double vitrage PVC Charges d'environ 160 EUR par mois comprenant chauffage, eau chaude, ascenseur, entretien des parties communes, garage, font de réserve Ne répond pas aux mails sans numéro de téléphone. Honoraires à la charges du vendeur. Agent commercial inscrit au RSAC de Saint Etienne sous le no878708411 L'agence Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 32589090 Prix hors honoraires : 110 000 €",11/12/2020,
48,Appartement,190000,143,"1328,671329",5,4,,SAINT-ETIENNE,"à proximité de l'université Jean Monnet, du tram et de toutes commodités",4,D,B,,1800,,,https://www.leboncoin.fr/ventes_immobilieres/1857620999.htm,"Appartement T5 Saint Etienne Saint-Etienne, à proximité de l'université Jean Monnet, du tram et de toutes commodités T5 d'environ 145 m2 + 2 place de Parking. Cuisine équipée, une très grande pièce à vivre, 4 grande chambres, une agréable salle de bain avec douche à l'italienne 2 WC ( possibilité de rajouté une seconde salle de bain facilement).. Double vitrage PVC Chauffage individuel Charges d'environ 150 euros par mois Petite copropriété de 7 lots, aucune procédure en cours Honoraires à la charges du vendeur! Agent commercial inscrit au RSAC de Saint Etienne sous le no878708411Cityzen immobilier ne doit recevoir ni détenir d'autres fonds ou valeurs que ceux représentatifs de sa rémunération ou de sa commission Référence annonce : 635 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 7",11/12/2020,
49,Appartement,125000,84,"1488,095238",3,2,"balcon, garage, cave, acun travaux à prévoir",SAINT-ETIENNE,Secteur Chateaucreux/monthieu,3,,,,,,,https://www.leboncoin.fr/ventes_immobilieres/1893427960.htm,"Appartement T4 Secteur Chateaucreux/monthieu, appartement de 84m2 dans copropriété sécurisée et proche de toutes commodités. Une grande pièce de vie avec balcon, une cuisine équipée, deux chambres, une salle de d'eau et un toilette indépendant. Le bien possède également un garage et une cave. Aucun travaux à prévoir. Chauffage individuel électrique, menuiserie double vitrage PVC. Venez découvrir la visite virtuelle sur notre site GTI immobilier. Pour plus d'informations contacter Mélissa CANTY au 06 58 79 97 19 Référence annonce : W13344-42 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours",11/12/2020,
50,Appartement,210000,103,"2038,834951",5,4,"terrasse, parking",VALENCE,"non loin de tous les commerces, écoles et transports, pas loin de la Mairie.",3,E,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1895931173.htm,"Duplex de 103m2, T5, 4 chambres, terrasse, cave et parking Duplex de 103m2, T5, 4 chambres, terrasse, cave et parking Ce Duplex proche Valence, se situe non loin de tous les commerces, écoles et transports, pas loin de la Mairie. Vous y trouverez un bien de 103 M2, dans une résidence sécurisée et charmante. Au premier niveau, une cuisine équipée et semi ouverte sur le séjour, 2 chambres de 11 à 13m2 et une salle dŽeau avec W.C. Au second, de nouveau 2 chambres, avec Salle de bain et W.C separé. Des terrasses dignes de ce nom, Vue dégagée, double vitrage, chauffage au Gaz, place de parking, cave. Facade et Isolation par l'exterieur en cours de realisation. Residence soignée et arborée. Venez decouvir ce Duplex facile à vivre et proche de tout. DPE E / MN 111809/ Agent commercial TM RSAC 845 097 542 Référence annonce : 111831 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours",15/12/2020,
51,Appartement,85000,67,"1268,656716",3,2,cave,VALENCE,"En plein coeur du Grand Charran,",3,,,,789,,,https://www.leboncoin.fr/ventes_immobilieres/1895824821.htm,"Valence Grand Charran - 3 pièce(s) 68 m2 avec cave

SPECIAL INVESTISSEUR - En plein coeur du Grand Charran, beau T3 de 67m2, dans une résidence des années 60 sécurisée. Il se situe au rdc surélevé et à rénover entièrement suivant votre inspiration. Il est composé d'une grande pièce de vie de 26 m² (possibilité créer chambre), cuisine indépendante avec loggia, 2 chambres, salle d'eau et WC indépendant. Une cave complète ce bien. Chauffage individuel au gaz. Faibles charges de copropriété. Honoraires charge vendeur. Patricia BERTIN Agent Commercial - Numéro RSAC : 437596638 - Aubenas
Référence annonce : 1499
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Nombre de lots : 100
Charges prévisionnelles annuelles : 789 €",15/12/2020,
52,Appartement,179670,87,"2065,172414",4,2,"2 balcons, place parking",VALENCE,"Secteur Victor Hugo, Proche de toutes commodités, écoles, commerces et bus",3,D,F,,,,,https://www.leboncoin.fr/ventes_immobilieres/1888574894.htm,"VALENCE APPARTEMENT 90 m² 4 PIECES Valence, Secteur Victor Hugo, Proche de toutes commodités, écoles, commerces et bus, un appartement lumineux de type 4 de 90 m² comprenant une cuisine aménagée et équipée, un salon/séjour d'environ 28 m2, deux chambres, une salle de bain, WC indépendant et placards. L'appartement bénéficie de deux balcons, une place de parking privée et une cave. Aucuns travaux à prévoir. A découvrir. Référence annonce : 4618827 Les honoraires sont à la charge du vendeur",15/12/2020,
53,Appartement,110000,97,"1134,020619",5,4,terrasse veranda,VALENCE,Valence Sud,3,,,,,,,https://www.leboncoin.fr/ventes_immobilieres/1895824935.htm,"Appartement Valence 5 pièce(s) 96.62 m2 VALENCE SUD- EXCLUSIVITE - Appartement de type 5 d'environ 97 m² à rénover, comprenant une cuisine indépendante avec loggia, un salon avec accès sur terrasse fermée par une véranda, 4 chambres, une salle d'eau et une cave. DPE Vierge. Tél : 04 75 59 33 23 - *** Copropriété de 727 lots (Pas de procédure en cours). Référence annonce : 1351 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 727",15/12/2020,
54,Appartement,138000,74,"1864,864865",4,3,cave,VALENCE,Centre ville,4,,,,,,,https://www.leboncoin.fr/ventes_immobilieres/1895824995.htm,"Appartement Valence centre ville 4 pièce(s) VALENCE CENTRE-VILLE - EXCLUSIVITE - Dans un immeuble bourgeois proche des boulevards et à 2 pas des commerces, appartement de type 4 au 3ème et dernier étage. Composé d'une cuisine aménagée et équipée ouverte sur le salon, 3 chambres et une salle de bains. Une cave. Chauffage individuel gaz de ville, double vitrages et cave. DPE vierge - Tél : 04 75 59 33 23 - *** Référence annonce : 1350 Les honoraires sont à la charge du vendeur",15/12/2020,
55,Appartement,142000,85,"1670,588235",4,2,balcon,VALENCE,proche du centre-ville et de toutes les commodités,4,E,E,,3002,,,https://www.leboncoin.fr/ventes_immobilieres/1863696683.htm,"Valence Victor Hugo, grand T4 de 85.52 m², deux chambres possibilité trois, garage et balcons Immobilier.notaires® et l'office notarial FAVIER, notaire associé, SELASU vous proposent : Appartement à vendre - VALENCE (26000) - - - - - - - - - - - - - - - - - - - - - - Valence avenue Victor Hugo, proche de la maison PIC, grand T4 lumineux de 85.52 m² (Carrez) à rénover, proche du centre-ville et de toutes les commodités, dans une copropriété avec ascenseur. Cet appartement se compose d'un hall d'entrée, d'un grand salon/séjour avec balcon et vue dégagée, cuisine avec balcon et loggia, deux chambres, salle de bain. Volets roulants électriques, une cave et un box de garage. Nombre de lots : 83. Climatisation. Charges annuelles : 3002 euros (Comprenant : Chauffage, eau chaude, eau froide, et charges générales). - - - - - - - - - - - - - - - - - - - - - - Visites : Sur rendez-vous. Contact : 06.37.02.21.65 - - - - - - - - - - - - - - - - - - - - - - Annonce de l'étude FAVIER, notaire associé, SELASU - Notaires à Valence - N° SIRET : 87974753300013 - - - - - - - - - - - - - - - - - - - - - - Immobilier.notaires® : Evaluer, acheter & vendre avec les notaires partout en France. 12 000 notaires, experts et négociateurs vous accompagnent dans vos projets immobiliers en toute confiance. Référence annonce : 22412020 A propos de la copropriété : Nombre de lots : 83 Charges prévisionnelles annuelles : 3002 €",15/12/2020,
56,Appartement,87000,60,1450,3,2,balcon,VALENCE,proche valence,2,E,F,,1200,,,https://www.leboncoin.fr/ventes_immobilieres/1867051505.htm,"VENTE APPARTEMENT T3 D ENVIRON 60M2 AVEC CAVE ET GARAGE Vente appartement T3 de 60M2 proche de Valence, si vous êtes à la recherche d'un appartement à petit budget avec les critères suivants: Grande pièce de vie d'environ 25M2 avec cuisine séparé équipée doté d'un beau balcon avec vue sur l'Ardèche et Crussol. 1 ou 2 chambres selon vos options. Salle de bain avec douche et Vasque. Une cave d'environ 8 m2 et un garage. Rénovation à prévoir. Côté technique: Chaudière collective au gaz, double vitrage, volets manuel, interphone. DPE (E). Possibilité dans la résidence de garé son vélo. Immeuble sécurisé. Il dispose d'un emplacement idéal pour se rendre a pied à tous les commerces de proximités. Alors si l'ensemble des caractéristiques de de ce bien immobilier correspondent à votre recherche, contactez nous rapidement afin d'en organiser la visite. MNo 112156 /Agent commercial MC / RCS 353 851 207 Référence annonce : 222001 Prix hors honoraires : 87 000 € A propos de la copropriété : Pas de procédure en cours Charges prévisionnelles annuelles : 1200 €",14/12/2020,
57,Appartement,227000,97,"2340,206186",4,3,rénové il y a 5 ans,VALENCE,proche gare,3,C,D,,1000,,,https://www.leboncoin.fr/ventes_immobilieres/1861071906.htm,"F4 Valence centre

Rare Valence proche gare Bel appartement de type F4.dans bel immeuble ancien Ce bel appartement de type f4 d 'une surface de 100m2 environ se compose d un beau salon séjour 35m2 environ, cuisine ouverte avec cellier attenant. 3 chambres, salle de bains, wc séparé. Entiérement rénové il ya 5 ans, cet appartement offre le charme de l 'ancien à deux pas de toutes les commodités. Beaux parquets, belle hauteur sous plafonds, traversant, chauffage individuel au gaz, double vitrage. Faibles charges de copropriété. Mno111158/RC/VF 319 019 486
Référence annonce : 127500
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Pas de procédure en cours
Charges prévisionnelles annuelles : 1000 €",14/12/2020,
58,Appartement,209000,84,"2488,095238",3,2,"balcon, cave, garage",VALENCE,avenue de la libération,3,C,D,,2500,,,https://www.leboncoin.fr/ventes_immobilieres/1853671946.htm,"VALENCE Sud de la ville, appartement T4 à vendre Dans une petite résidence de 4 logements, au calme, avenue de la libération à Valence, à vendre, appartement T4 , premier étage. Offrant une surface habitable de 84 m2, dont un séjour de 37 m2, plus un salon attenant de12.69 m2, pouvant devenir une troisiéme chambre. Deux chambres 11.33 et 14.03 m2. une salle d'eau. Un balcon plein Sud pouvant accueillir une table, une loggia fermée. Store électrique. L'appartement est refait à neuf, les huisseries sont en double vitrage PVC, les volets sont roulants électriques, la cuisine est entiérement équipée, avec plaque de cuisson, hotte, four et nombreux rangements. La climatisation individuelle est neuve. Le chauffage est collectif par radiateurs. Le logement dispose d'une cave, d'un garage, et la copropriété de 4 lots d'habitations posséde un espace vert. Résidence cloturée, sécurisée. Charges annuelles générales du lot 2500 euros ( chauffage, eau chaude, eau froide .....). Prix de vente 209 000 euros, honoraires charge vendeur. Mandat référence 2471. L'Agence Adhémar immobilier, agent FNAIM 04.75.54.42.14 Référence annonce : 2471 Prix hors honoraires : 209 000 € A propos de la copropriété : Pas de procédure en cours Nombre de lots : 4 Charges prévisionnelles annuelles : 2500 €",14/12/2020,
59,Appartement,60000,81,"740,7407407",4,2,séjour double,VALENCE,route de montelier,3,,,,2388,,,https://www.leboncoin.fr/ventes_immobilieres/1895477257.htm,"vente appartement 4 Pièce(s) Grand T4 à rénover, route de Montélier, séjour double, salle à manger (possible 3ème chambre), grande cuisine, orienté plein sud, très lumineux dû à sa situation en étage élevé. Charges mensuelles 199€/mois incluant chauffage, eau chaude et froide. Garage & cave. Cet appartement est à rénover. Honoraires à charge du vendeur Renseignements 06 05 06 11 60 Référence annonce : 548V5559A Non soumis au DPE Les honoraires sont à la charge du vendeur A propos de la copropriété : Charges prévisionnelles annuelles : 2388 €",14/12/2020,
60,Appartement,182000,60,"3033,333333",3,2,"Ascenseur, salle de fitness, garage couvert fermé (normes handicapées) complètent ce bien.",CLERMONT-FERRAND,Quartier des Cézeaux,4,A,C,,1176,,,https://www.leboncoin.fr/ventes_immobilieres/1891297347.htm,"*** EXCLUSIVITE *** Quartier des Cézeaux, dans une impasse au calme, appartement impeccable de 60m² au 3ème étage d'une résidence sécurisée de 2012. L'appartement vous propose une entrée, une cuisine équipée ouverte sur le séjour avec balcon, deux chambres avec placards, belle salle d'eau et WC séparés. Double exposition SE et SO, double vitrage PVC et volets roulants. Ascenseur, salle de fitness, garage couvert fermé (normes handicapées) complètent ce bien. Chauffage individuel gaz. Charges 98€/mois. Honoraires charges vendeur. Investir Immobilier Alexandre De Freitas 06.68.44.24.67",15/12/2020,
61,Appartement,119900,60,"1998,333333",3,2,"cave, garage",CLERMONT-FERRAND,Carmes,3,D,E,,1728,,,https://www.leboncoin.fr/ventes_immobilieres/1885127885.htm,"***Exclusivité*** Secteur Les Carmes, très bel appartement au 3e étage, parfaitement entretenue, vous n'aurez aucun travaux a prévoir dans ce bien. Il ce compose : D'une cuisine aménagée équipée ouverte sur salon séjour, de deux chambres, d'une salle d'eau, d'un dressing, un WC ainsi que d'une cave et un garage. A propos de la copropriété : Nombre de lots : 109 Charges prévisionnelles mensuelles : 144€ Contact Kévin Bouchet 06.11.93.01.94",15/12/2020,
62,Appartement,141000,69,"2043,478261",3,2,balcon,CLERMONT-FERRAND,Lafayette,3,C,D,804,804,878,,https://www.leboncoin.fr/ventes_immobilieres/1893243722.htm,"Appartement Appartement T3 Lafayette Clermont Ferrand - Dans une copropriété de 2004 - Résidence Du Motier - composée de 17 appartements répartis sur 6 étages avec ascenseur, ce Type 3 de 69m² est composée d'une salle de bain (baignoire), de deux chambres dont une avec placard, d'un wc indépendant, d'une cuisine séparée non équipée avec une chaudière (chauffage individuel gaz) ouvrant sur un balcon de 10m² et d'un séjour de 21m² donnant lui aussi sur le balcon. Le balcon est orienté perpendiculairement au boulevard lafayette donc en retrait et au calme. Les volets de la cuisine et du séjour sont électriques. Les charges de copropriété (syndic immobilier gergovia) sont de 804€ La taxe foncière est de 878€ Des travaux de rafraichissement (papier peint, sol) et d'équipements (cuisine à équiper) sont à prévoir Pas de frais d'agence, pas d'honoraires Possibilité d'obtenir un garage privatif en sous sol pour 12 000€ supplémentaire Pour plus de renseignements et programmer une visite contacter CLERDOME 04 73 41 34 00. Le bien est soumis au statut de la copropriété , la copropriété comporte 17 lots , la quote-part budget prévisionnel charge vendeur (dépenses courantes) est de 804,00 euros/an. Honoraires à la charge du vendeur. Référence annonce : TAPP101098368 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 17 Charges prévisionnelles annuelles : 804 €",15/12/2020,
