Référence,Type de bien,Prix de vente,Surface totale m²,€/m²,Nb pièces,Nb chambres,Autres,Commune,Détail Localisation,Note localisation,Etiquette NRJ,Etiquette GES,Coût copro /an,Coût charge /an,Autres coûts /an,Prix location /mois,Lien,Description entière annonce,Date publication annonce
11,Appartement,115500,60,1 925 €,3,/,balcon,SAINT-ETIENNE,Cours Fauriel,4,D,E,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1855838612.htm,"Cours Fauriel F3 4éme étage avec ascenseur et balcon sur séjour et chambre sans vis à vis, triple exposition, fenêtres PVC double vitrage parking d’immeuble sécurisé.",04/12/2020
12,Appartement,125000,70,1 786 €,4,2,"refait à neuf en 2015, cave, buanderie",SAINT-ETIENNE,"Secteur Carnot, proche cité du design et école Tézenas",4,E,B,/,480 €,738 €,/,https://www.leboncoin.fr/ventes_immobilieres/1889101619.htmm,"Appartement T4 70m2 refait à neuf EXCLUSIVITÉ agence. Secteur Carnot, proche cité du design et école Tézenas. Appartement 4 pièces de 70m2 refait à neuf en 2015. Se compose d'un hall d'entrée avec rangements, accès séjour et salle à manger très lumineux. Cuisine équipée avec ilot centrale. 2 chambres dont une parentale avec espace dressing (ou 3 ème petite chambre) + salle d'eau avec douche, baignoire et meuble vasque. Wc séparé. Une buanderie. Volets électriques. Une cave. Charges : 40EUR/ mois ( entretien des communs + fond de travaux ). Taxe foncière : 738EUR. Chauffage électrique récent. Votre contact : Bastien ROLLET 06.89.96.11.75 LES TERRASSES DE L'IMMO - Annonce rédigée et publiée par un Agent Mandataire - Référence annonce : 15_0821I Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours",04/12/2020
13,Appartement,94000,82,1 146 €,4,2,/,SAINT-ETIENNE,"rue Nicephore Niepce, quartier La Rivière, à 2 minutes de l'autoroute, Proximité transports en commun",1,C,D,"190,00 €",/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1885522183.htm,"Appartement T4 de 81,84 m² Venez découvrir cet appartement d'environ 81m², situé rue Nicephore Niepce, quartier La Rivière, à 2 minutes de l'autoroute. Il est au troisième étage d'une copropriété qui en compte 6, avec ascenseur. Vous profiterez d'un séjour (avec accès à la loggia de 8m²)), d'une cuisine séparée et équipée (avec accès à la loggia également), de deux chambres et un bureau. Une cave et un parking extérieur complètent cet appartement. Proximité transports en commun. Nombre de lots de la copropriété : 48, Montant moyen annuel de la quote-part de charges (budget prévisionnel) : 190€ soit 15€ par mois. Les honoraires sont à la charge du vendeur. Réseau Immobilier CAPIFRANCE - Votre agent commercial Stéphanie DEVILLE 06 75 46 83 12 - Plus d'informations sur le site de CAPIFRANCE (réf.696773) Référence annonce : 340937932329 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 48 Charges prévisionnelles annuelles : 190 €",04/12/2020
14,Appartement,119000,110,1 082 €,4,4,Petit balcon ,SAINT-ETIENNE,"hyper centre ville de Saint-Etienne, place de l'hotel de ville.",5,E,F,"1 080,00 €",/,1 500 €,/,https://www.leboncoin.fr/ventes_immobilieres/1851981947.htm,"Appartement type 5 4ème et dernier étage sans ascenseur ave Appartement type 5 110 m2, 4ème étage sans ascenseur, dernier étage dans une copropiété privée. Un salon/séjour. Une cuisine indépendante équipée. Une chambre parentale. Trois chambres enfants. Une salle d'eau. Une salle de bain. Un w.c individuel. Petit balcon dans l'allée. Secteur géographique: hyper centre ville de Saint-Etienne, place de l'hotel de ville. Prestations: appartement rénové il y a un dizaine d'annéee. Chauffage individuel gaz de ville. Charge de copropriété: 90 euros par mois. Taxe foncière: 1500 euros. Pour plus de renseignement, je vous laisse me contacter. M. FOUGHALI. Agent immobilier PBHIMMO. Tel: 06.12.38.90.99 - Annonce rédigée et publiée par un Agent Mandataire - Référence annonce : 14_45_37 Les honoraires sont à la charge du vendeur",04/12/2020
15,Maison,139900,63,2 221 €,6,3,/,SAINT-ETIENNE,"10 mn à pied (gare, Zénith, Steel) ",3,D,E,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1807770155.htmm,"Exclu St-Etienne 10 mn à pied (gare, Zénith, Steel) Maison de ville avec terrasse compenant cuisine us salon-sam 3 chambres sdb 2 wc Cc gaz Parking Exclu St-Etienne 10 mn à pied de la gare Châteaucreux - Zénith - Steel - Maison de ville F4 avec terrasse sans vis-à-vis hall cuisine us équipée salon-sam accès vaste terrasse 3 chambres sdb wc cc gaz Parking Aucun vis-à-vis DPE : D Px : 139 900 € honoraires d'agence charge vendeur Sandrine Cataldi 0608754665 votre agent commercial RSAC: 539 589 085 Référence annonce : 2104",04/12/2020
16,Appartement,110000,64,1 719 €,3,2,"Appartement traversant, balcon",CLERMONT-FERRAND,"Quartier chanteranne, proche tram",4,E,E,/,1 680 €,1 076 €,/,https://www.leboncoin.fr/ventes_immobilieres/1887691397.htm,"L'agence HMV immobilier vous propose en exclusivité un magnifique T3 traversant de 64m2 avec balcon qui bénéficie d'une vue sur le Puy de Dôme. Le bien se compose d'un salon donnant sur le balcon, d'une cuisine séparée et équipée. Un couloir avec rangement intégrés dessert la salle d'eau , le wc, ainsi que le coin nuit offrant 2 belles chambres dont une permettant l'accés au balcon. Situé au 4ème et dernier étage vous profiterez du calme et d'une luminosité naturelle maximale. Charges mensuel de 140 EUR (incluant le chauffage au gaz, eau chaude/froide, frais de syndic...). Taxe foncière annuel : 1076 EUR. Un parking privatif extérieur ainsi qu'une grande cave s'ajoutent aux prestations de l'appartement. Huisseries PVC double-vitrage. Secteur Chanteranne, Proximité tram et accés autoroutiers. Pour tous renseignements et visites contactez votre agent Mr Alexandre LEOTY au 07.68.76.54.41.Toutes nos annonces sont consultables sur notre site Internet. Alexandre Leoty agent commercial, numéro RSAC 520 398 645 délivré par le tribunal de commerce de Clermont-Ferrand. Référence annonce : 349 Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours",8/12/2020
17,Appartement,124800,63,1 981 €,3,2,"Résidence neuve, place de parking",CLERMONT-FERRAND,"Proche 1er Mai, CHU",3,E,C,/,1 060 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891817777.htm,"Appartement

INVESTIR DANS UNE RÉSIDENCE RÉCENTE... - CITYA JAUDE - Dans une copropriété très bien entretenue à proximité des Carmes (Michelin), 1er Mai et du CHU Estaing (10 min à pied), ....
Découvrez cet appartement de 3 pièces de 63,4 m², il est composé d'une entrée, cuisine aménagée ouvrant sur un séjour de 23 m² donnant accès au balcon (exposé Sud), deux chambres de 11 et 13 m², toutes deux avec placards intégrés, une jolie salle de bains et un wc.
Il est situé au 1 er étage de cette résidence semi-récente avec ascenseur. Le chauffage de l'immeuble est individuel, alimenté à l'électricité.
L'appartement dispose d'une place de parking couverte et le stationnement d'un second véhicule se fait aisément dans la rue.
Pas de procédure en cours.
Honoraires charge vendeur. Le bien est soumis au statut de la copropriété , la copropriété comporte 226 lots , la quote-part budget prévisionnel charge vendeur (dépenses courantes) est de 1 060,00 euros/an.
Honoraires à la charge du vendeur. Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : ***
Référence annonce : TAPP421538
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Nombre de lots : 226
Charges prévisionnelles annuelles : 1060 €",08/12/2020
18,Appartement,162000,80,2 025 €,4,3,"Balcon, garage, cave",CLERMONT-FERRAND,Excentré tram,2,/,/,/,/,1 379 €,/,https://www.leboncoin.fr/ventes_immobilieres/1891663991.htm,"Appartement T4 à Clermond Ferrand Appartement T4 avec balcon au 1er étage avec ascenseur situé 49 Avenue du Puy de Dôme à Clermont Ferrand, dans une résidence sécurisée et bien entretenue. Proche toutes commodités. Vendu avec un garage et une cave. L'appartement se compose d'un hall d'entré, cuisine fermée, salon avec accès sur le balcon, 3 chambres dont 2 avec placard intégré et 1 avec un accès sur le balcon (9,44m²/10,91m²/11,33m²) SDB et WC séparé. Huisseries PVC double vitrage, volets roulants manuels Chauffage individuel au gaz Taxe foncière : 1379€ Visite virtuelle disponible ! Référence annonce : 02250A0A06 Les honoraires sont à la charge du vendeur",8/12/2020
19,Appartement,182000,60,3 033 €,3,2,"Ascenseur, salle de fitness, garage couvert fermé (normes handicapées) ",CLERMONT-FERRAND,Cézeaux : proche facs,4,A,C,/,1 176 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1891297347.htm,"*** EXCLUSIVITE *** Quartier des Cézeaux, dans une impasse au calme, appartement impeccable de 60m² au 3ème étage d'une résidence sécurisée de 2012. L'appartement vous propose une entrée, une cuisine équipée ouverte sur le séjour avec balcon, deux chambres avec placards, belle salle d'eau et WC séparés. Double exposition SE et SO, double vitrage PVC et volets roulants. Ascenseur, salle de fitness, garage couvert fermé (normes handicapées) complètent ce bien. Chauffage individuel gaz. Charges 98€/mois. Honoraires charges vendeur. Investir Immobilier Alexandre De Freitas 06.68.44.24.67",8/12/2020
20,Appartement,151200,67,2 257 €,4,3,Vendu occupé avec locataires,CLERMONT-FERRAND,/,/,E,/,/,"1 017,20€",/,1 049 €,https://www.leboncoin.fr/ventes_immobilieres/1891637532.htm,"Idéal investisseur - Bel appartement T4

EXCLUSIVITÉ ERA JAUDE IMMOBILIER Produit d'investissement locatif avec un rendement de 8,4% Appartement T4 de 67m² refait à neuf, les 3 chambres sont actuellement louées en colocation (1049euros/mois), salle d'eau et cuisine aménagée et équipée complètent ce bien ainsi qu'un garage et une cave Appartement vendu occupé Contactez dès maintenant votre conseillère Margaux GOMOT (RSAC Clermont Ferrand : 889 858 031) : 06.23.72.39.62 Honoraires charge vendeur Copropriété de 141 lots Charges annuelles : 1017.2 euros. MARGAUX GOMOT Agent Commercial - Numéro RSAC : 889858031 -
Référence annonce : 139
Les honoraires sont à la charge du vendeur

A propos de la copropriété :
Procédure en cours
Nombre de lots : 141
Charges prévisionnelles annuelles : 1017 €",8/12/2020
21,Appartement,125500,80,1 569 €,4,3,parking,CLERMONT-FERRAND,10 min du centre,4,/,/,/,2 400 €,/,540 €,https://www.leboncoin.fr/ventes_immobilieres/1838237310.htm,"MANDAT CONFIANCE - CLERMONT-FERRAND Spécial Investisseur: Venez découvrir cet appartement de type 4 proche de toutes les commodités et à moins de 10 minutes du centre-ville. Il est composé d'un beau séjour, de trois chambres et d'une cuisine aménagée et équipée. De plus, vous retrouverez un grand cellier. Une place de parking dans un box sécurisé vient compléter ce bien. Loué 540€+charges A visiter rapidement!! Référence annonce : 19326 Non soumis au DPE Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 161 Charges prévisionnelles annuelles : 2400 €",8/12/2020
22,Appartement,190000,86,2 209 €,3,2,/,CLERMONT-FERRAND,Idéal couple avec enfant mais pas étudiant,3,C,D,/,1 560 €,1 200 €,/,https://www.leboncoin.fr/ventes_immobilieres/1891381280.htm,"SANS FRAIS D'AGENCE Cet appartement duplex (T3) situé à 10 min à pied de la place de Jaude, est un bien atypique donnant accès à une cour intérieure commune avec espaces verts. Le Rez-de-Chaussée (40.38 m²) se compose d’une cuisine entièrement équipée (frigo, four, lave-vaisselle, plaque induction + hotte) donnant sur l’espace de vie avec une belle hauteur sous plafond ; une buanderie (3.45m²) aménagée avec grenier ; un toilette. A l’étage, tout en parquet massif, l’espace nuit dispose d’une chambre spacieuse avec dressing ; une chambre, avec mezzanine (4.89 m²) et verrière ; une salle de bain avec parquet bateau et meuble double vasque, équipé d’une baignoire et d’une douche ; un toilette indépendant ; un grand placard + un espace bureau. Situé au calme, ce bien bénéficie également d’un parking couvert, sécurisé par deux portails électriques. Localisation : secteur Carmes, école et crèche à 100m, proche lycée Jeanne d’Arc et Blaise Pascal, tramway et gare à 5 min. Petite copropriété de 16 lots ; CHARGES MENSUELLES FAIBLES de 35€/mois (syndic bénévole) ; Chauffage électrique, consommation totale 95€/mois, double vitrage ; Taxe foncière 1200€/an. Photos supplémentaires disponibles par mail.",8/12/2020
23,Appartement,174500,69,2 529 €,3,2,/,CLERMONT-FERRAND,25min du centre,3,C,D,/,960 €,1 107 €,/,https://www.leboncoin.fr/ventes_immobilieres/1885519253.htm,"APPARTEMENT LAFAYETTE Le Cabinet de Lattre vous propose sur Clermont-Ferrand secteur Lafayette, un appartement T3 de 69 m² au 4ème étage avec ascenseur. Traversant Est/Ouest, composé d'une cuisine équipée, d'un séjour lumineux avec balcon, d'une salle d'eau et de 2 chambres avec placards intégrés. Secteur très recherché ! A 25 min du centre ville à pied, cet appartement bénéficie d'une cave et d'un garage fermé. Chauffage gaz individuel. Appartement refait entièrement en 2016. Façade refaite en 2019 ainsi que l'isolation par l'extérieur. 80€ de charges par mois qui comprends : entretiens des communs et des espaces verts. La taxe foncière est de 1 107 € Contacter votre conseillère Cindy MALGOUYRES au 06.28.06.31.28 Référence annonce : 4592509 Les honoraires sont à la charge du vendeur",8/12/2020
24,Appartement,189900,80,2 374 €,4,3,/,CLERMONT-FERRAND,Semble proche commodités,4,B,C,/,2 220 €,1 317 €,/,https://www.leboncoin.fr/ventes_immobilieres/1845655290.htm,"Joli T4 avec vue, au calme à Clermont Nord Les Clés de Chloé vous propose ce bel appartement au 4ème et dernier étage, avec ascenseur, d'une résidence de standing de 2014 dans un quartier en pleine mutation. Vous n'aurez qu'à poser vos valises dans ce vaste T4 en retrait, sans vis-à-vis et particulièrement calme. Sur environ 80 m2, exposé Sud avec une belle vue dégagée, il se compose de : - 1 entrée avec placard intégré - 1 pièce à vivre ouverte sur une cuisine équipée et aménagée - 1 cellier - 1 couloir (avec placard intégré) desservant l'espace nuit - 3 chambres avec placard intégré - 1 salle de bain - 1 WC séparé - 1 balcon/terrasse de 9 m2. Une place de parking en sous-sol sécurisé, pouvant être transformée en box, complète ce bien. Les points forts : - Pas de travaux à prévoir - Lumineux avec de grandes ouvertures - Fenêtres PVC avec double vitrage - Très calme, pas de vis à vis - Chaudière collective Bois basse consommation - Logement BBC (Bâtiment Basse Consommation) - Accessibilité Personne à Mobilité Réduite - Toutes les commodités sont à proximité (Centre Commercial, Tramway, Cabinets médicaux, Ecoles, Restaurants, Cinéma...). Autres informations : Le bien proposé est soumis au statut de la copropriété. Le nombre total de lots de copropriété est de 202 lots dont 101 logements. Le montant mensuel de charges courantes prévisionnelles est de 185 €/mois (entretien communs, ascenseur, eau chaude, eau froide, chauffage). Il n'y a pas de procédures en cours pour cette copropriété. La taxe foncière est de 1317 €/an. Votre conseiller LES CLES DE CHLOE : Renaud Pourrat - Tél. 06.58.12.65.05 N° RSAC 883 889 370 RCP 59 661 778 Référence annonce : 80-CLESCHLOE Les honoraires sont à la charge du vendeur A propos de la copropriété : Pas de procédure en cours Nombre de lots : 202",7/12/2020
25,Appartement,112000,90,1 244 €,5,3,/,CLERMONT-FERRAND,hauts chanturge,3,D,E,/,2 292 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1885045797.htm,"Trés bel Appartement entiérement rénové avec goût d'une surface de 90 m2 hab avec balcon. Il est composé d'une cuisine aménagée, d'un grand séjour salle à manger, de 3 chambres, d'une salle de bains, wc, cave et parking privé. Belles prestations!! il est situé rue des hauts de chanturgue. - Montant moyen annuel de la quote part de charges (budget prévisionnel) : 2292 € soit 191 € par mois Le bien est soumis au statut de la copropriété. Bien en copropriété de : 162 lots. Honoraires de 6.67 % TTC inclus à la charge de l'acquéreur (105 000 € hors honoraires) Pas de procédure en cours. Votre agent commercial 3G IMMO-CONSULTANT sur place Yasmina MEKADEM Inscrite au RSAC de CLERMONT-FERRAND 445 012 354, Tel : 06 86 67 27 85 Référence annonce : 137994YM-1462368756 A propos de la copropriété : Charges prévisionnelles annuelles : 2292 €",7/12/2020
26,Appartement,179000,84,2 131 €,3,2,résidence sécurisée avec gardien et parking,CLERMONT-FERRAND,Quartier galaxie,3,/,/,/,2 400 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1873907467.htm,"Entièrement rénové en 2018, idéalement situé a Clermont Ferrand limite Chamalieres dans le quartier galaxie. L'appartement est au 11 éme étages avec ascenseur et gardien. Hall d'entré avec dressing, pièce de vie de 37 m2 donnant sur un balcon, cuisine entièrement équipée. La partie nuit se compose de 2 chambres avec rangement, 1 salle d'eau avec douche a l'italienne et d'un WC suspendu séparé. 1 place de parking dans un garage sécurisé ( 24/24 présence d'un gardien ) La résidence dispose d'espaces verts communs et aire de jeux protégés. Quartier résidentiel, transports et commerce au pieds de la résidence, la place de jaude ainsi que le centre de Chamalieres sont a moins de 15 min a pieds. a propos de la copropriété: pas de procédure en cours, charge prévisionnelles 200,00 €/mois comprenant le chauffage, l'eau froide et chaude, l'entretien des espaces verts + 27,00 € pour le garage.",7/12/2020
27,Appartement,210000,90,2 333 €,4,2,"terrasse sud, securisé garage 2 places local à vélo, jardin paratagé",GRENOBLE,avenue Alfred de Vigny,3,C,D,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1808869899.htm,"Superbe duplex de 90 m2 au sol, climatisé et sécurisé. Venez visiter ce lumineux appartement traversant au deuxième et dernier étage, situé avenue Alfred de Vigny en face de la Gendarmerie Nationale. Vous apprécierez un premier niveau composé d’un salon/salle à manger ouvert sur une belle terrasse, joliment décorée, exposée Sud. Une cuisine intégrée et tout équipée, une chambre, hall, placard et toilettes. A l'étage deux très grandes chambres de + de 18 m2 au sol séparées par une salle de bain équipée (Aubade). Un très grand garage double disponible en sus. Pour votre confort : volets électriques dans les pièces communes, terrasse en teck avec store automatique, local à vélo à disposition, espaces verts (jardinage à partager autour d’un apéro). Tél : 06 12 51 30 12",08/12/2020
28,Appartement,199000,63,3 159 €,3,2,balcon,GRENOBLE,proche de la gare,5,C,D,/,1 000 €,/,/,https://www.leboncoin.fr/ventes_immobilieres/1892131533.htm,"Appartement 3 pièces 63.38 m² Grenoble Grenoble, a prox de la Gare, du World trade center, de l'école de commerce, europole, au 3 étage d'un immeuble de 2007, beau T3+ cuisine de 63m², comprenant salon, cuisine équipée et ouverte, 2 chambres au calme, dégagement, salle de bain et toilette séparée. En plus, balcon terrasse accessible depuis le salon.. voir visite 3D sur notre site et renseignements Franck au 06.07.35.57.42 Référence annonce : 5FBD944ACAC00242460683 Les honoraires sont à la charge du vendeur A propos de la copropriété : Nombre de lots : 70 Charges prévisionnelles annuelles : 1000 €",08/12/2020
29,Appartement,159000,64,2 484 €,3,2,/,GRENOBLE,/,/,D,E,/,/,/,/,https://www.leboncoin.fr/ventes_immobilieres/1863845613.htm,"Agréable 3P+C, 2ème étage sur 3, belle pièce de vie, cheminée, parquet, sans vis à vis, vue montagnes, 2 belles chambres, dressings, cuisine équipée, expo S/N, beaux volumes. Très bon état. A saisir vite ! 6 lots",08/12/2020
